,ndc_description_agg
25928,"REMODULIN 20MG/20ML (1MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25929,"REMODULIN 20MG/20ML (1MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25930,"REMODULIN 50MG/20ML (2.5MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25931,"REMODULIN 50MG/20ML (2.5MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25932,"REMODULIN 50MG/20ML (2.5MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25933,"REMODULIN 50MG/20ML (2.5MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25934,"REMODULIN 100MG/20ML (5MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25935,"REMODULIN 100MG/20ML (5MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25936,"REMODULIN 100MG/20ML (5MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25937,"REMODULIN 100MG/20ML (5MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25938,"REMODULIN 200MG/20ML (10MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25939,"REMODULIN 200MG/20ML (10MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25940,"REMODULIN 200MG/20ML (10MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25941,"REMODULIN 200MG/20ML (10MG/ML) INTRAVENOUS, SUBCUTANEOUS"
25942,CYSTO-CONRAY II 17.2% INTRAVESICAL
25943,DIMETHYL SULFOXIDE 50% INTRAVESICAL
25944,RIMSO-50 50% INTRAVESICAL
25945,VALRUBICIN 40MG/ML INTRAVESICAL
25946,VALSTAR PRESERVATIVE FREE 40MG/ML INTRAVESICAL
25947,IONTOCAINE 0.01MG/ML;2% IONTOPHORESIS
25948,"LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE 0.01MG/ML;2% IONTOPHORESIS, TOPICAL"
25949,AMINOACETIC ACID 1.5% IN PLASTIC CONTAINER 1.5GM/100ML IRRIGATION
25950,BALANCED SALT 0.48MG/ML;0.3MG/ML;0.75MG/ML;3.9MG/ML;6.4MG/ML;1.7MG/ML IRRIGATION
25951,BALANCED SALT 0.48MG/ML;0.3MG/ML;0.75MG/ML;3.9MG/ML;6.4MG/ML;1.7MG/ML IRRIGATION
25952,
25953,BSS 0.48MG/ML;0.3MG/ML;0.75MG/ML;3.9MG/ML;6.4MG/ML;1.7MG/ML IRRIGATION
25954,BSS PLUS 0.154MG/ML;0.92MG/ML;0.184MG/ML;0.2MG/ML;0.38MG/ML;2.1MG/ML;7.14MG/ML;0.42MG/ML IRRIGATION
25955,GLYCINE 1.5% IN PLASTIC CONTAINER 1.5GM/100ML IRRIGATION
25956,GLYCINE 1.5% IN PLASTIC CONTAINER 1.5GM/100ML IRRIGATION
25957,GLYCINE 1.5% IN PLASTIC CONTAINER 1.5GM/100ML IRRIGATION
25958,GLYCINE 1.5% IN PLASTIC CONTAINER 1.5GM/100ML IRRIGATION
25959,IRRIGATING SOLUTION G IN PLASTIC CONTAINER 3.24GM/100ML;380MG/100ML;430MG/100ML IRRIGATION
25960,KETOROLAC TROMETHAMINE AND PHENYLEPHRINE HYDROCHLORIDE EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25961,LACTATED RINGER'S IN PLASTIC CONTAINER 20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML IRRIGATION
25962,LACTATED RINGER'S IN PLASTIC CONTAINER 20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML IRRIGATION
25963,LACTATED RINGER'S IN PLASTIC CONTAINER 20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML IRRIGATION
25964,LACTATED RINGER'S IN PLASTIC CONTAINER 20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML IRRIGATION
25965,LACTATED RINGER'S IN PLASTIC CONTAINER 20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML IRRIGATION
25966,METHOTREXATE SODIUM 0.154MG/ML;0.92MG/ML;0.184MG/ML;0.2MG/ML;0.38MG/ML;2.1MG/ML;7.14MG/ML;0.42MG/ML IRRIGATION
25967,NAVSTEL 0.154MG/ML;0.92MG/ML;0.2MG/ML;0.184MG/ML;0.38MG/ML;2.1MG/ML;7.14MG/ML;0.42MG/ML IRRIGATION
25968,"NEOMYCIN AND POLYMYXIN B SULFATE EQ 40MG BASE/ML;200,000 UNITS/ML IRRIGATION"
25969,"NEOMYCIN AND POLYMYXIN B SULFATE EQ 40MG BASE/ML;200,000 UNITS/ML IRRIGATION"
25970,"NEOMYCIN AND POLYMYXIN B SULFATE EQ 40MG BASE/ML;200,000 UNITS/ML IRRIGATION"
25971,"NEOSPORIN G.U. IRRIGANT EQ 40MG BASE/ML;200,000 UNITS/ML IRRIGATION"
25972,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25973,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25974,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25975,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25976,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25977,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25978,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25979,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25980,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25981,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25982,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25983,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25984,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25985,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25986,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25987,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25988,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25989,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25990,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25991,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25992,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25993,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25994,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25995,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25996,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25997,OMIDRIA EQ 0.3% BASE;EQ 1% BASE IRRIGATION
25998,PHYSIOLYTE IN PLASTIC CONTAINER 30MG/100ML;37MG/100ML;370MG/100ML;530MG/100ML;500MG/100ML IRRIGATION
25999,PHYSIOSOL IN PLASTIC CONTAINER 14MG/100ML;37MG/100ML;222MG/100ML;526MG/100ML;502MG/100ML IRRIGATION
26000,PHYSIOSOL IN PLASTIC CONTAINER 30MG/100ML;37MG/100ML;222MG/100ML;526MG/100ML;502MG/100ML IRRIGATION
26001,PHYSIOSOL PH 7.4 IN PLASTIC CONTAINER 30MG/100ML;37MG/100ML;222MG/100ML;526MG/100ML;502MG/100ML IRRIGATION
26002,RENACIDIN 6.602GM/100ML;198MG/100ML;3.177GM/100ML IRRIGATION
26003,RESECTISOL 5GM/100ML IRRIGATION
26004,RESECTISOL IN PLASTIC CONTAINER 5GM/100ML IRRIGATION
26005,RINGER'S IN PLASTIC CONTAINER 33MG/100ML;30MG/100ML;860MG/100ML IRRIGATION
26006,RINGER'S IN PLASTIC CONTAINER 33MG/100ML;30MG/100ML;860MG/100ML IRRIGATION
26007,RINGER'S IN PLASTIC CONTAINER 33MG/100ML;30MG/100ML;860MG/100ML IRRIGATION
26008,RINGER'S IN PLASTIC CONTAINER 33MG/100ML;30MG/100ML;860MG/100ML IRRIGATION
26009,SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER 450MG/100ML IRRIGATION
26010,SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER 450MG/100ML IRRIGATION
26011,SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER 450MG/100ML IRRIGATION
26012,SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER 450MG/100ML IRRIGATION
26013,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 900MG/100ML IRRIGATION
26014,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 900MG/100ML IRRIGATION
26015,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 900MG/100ML IRRIGATION
26016,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 900MG/100ML IRRIGATION
26017,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 900MG/100ML IRRIGATION
26018,SODIUM CHLORIDE IN PLASTIC CONTAINER 900MG/100ML IRRIGATION
26019,SORBITOL 3% IN PLASTIC CONTAINER 3GM/100ML IRRIGATION
26020,SORBITOL 3% IN PLASTIC CONTAINER 3GM/100ML IRRIGATION
26021,SORBITOL 3.3% IN PLASTIC CONTAINER 3.3GM/100ML IRRIGATION
26022,SORBITOL-MANNITOL 540MG/100ML;2.7GM/100ML IRRIGATION
26023,SORBITOL-MANNITOL IN PLASTIC CONTAINER 540MG/100ML;2.7GM/100ML IRRIGATION
26024,SORBITOL-MANNITOL IN PLASTIC CONTAINER 540MG/100ML;2.7GM/100ML IRRIGATION
26025,SYNOVALYTE IN PLASTIC CONTAINER 30MG/100ML;37MG/100ML;368MG/100ML;526MG/100ML;502MG/100ML IRRIGATION
26026,TIS-U-SOL 20MG/100ML;40MG/100ML;6.25MG/100ML;800MG/100ML;8.75MG/100ML IRRIGATION
26027,TIS-U-SOL IN PLASTIC CONTAINER 20MG/100ML;40MG/100ML;6.25MG/100ML;800MG/100ML;8.75MG/100ML IRRIGATION
26028,UROLOGIC G IN PLASTIC CONTAINER 3.24GM/100ML;380MG/100ML;430MG/100ML IRRIGATION
26029,"ACETIC ACID 0.25% IN PLASTIC CONTAINER 250MG/100ML IRRIGATION, URETHRAL"
26030,"ACETIC ACID 0.25% IN PLASTIC CONTAINER 250MG/100ML IRRIGATION, URETHRAL"
26031,"ACETIC ACID 0.25% IN PLASTIC CONTAINER 250MG/100ML IRRIGATION, URETHRAL"
26032,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26033,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26034,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26035,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26036,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26037,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26038,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26039,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26040,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26041,BELRAPZO 100MG/4ML (25MG/ML) IV (INFUSION)
26042,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26043,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26044,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26045,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26046,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26047,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26048,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26049,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26050,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26051,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26052,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26053,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26054,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26055,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26056,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26057,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26058,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26059,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26060,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26061,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26062,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26063,BENDEKA 100MG/4ML (25MG/ML) IV (INFUSION)
26064,TREANDA 45MG/0.5ML (90MG/ML) IV (INFUSION)
26065,TREANDA 45MG/0.5ML (90MG/ML) IV (INFUSION)
26066,TREANDA 45MG/0.5ML (90MG/ML) IV (INFUSION)
26067,TREANDA 45MG/0.5ML (90MG/ML) IV (INFUSION)
26068,TREANDA 45MG/0.5ML (90MG/ML) IV (INFUSION)
26069,TREANDA 45MG/0.5ML (90MG/ML) IV (INFUSION)
26070,TREANDA 180MG/2ML (90MG/ML) IV (INFUSION)
26071,TREANDA 180MG/2ML (90MG/ML) IV (INFUSION)
26072,TREANDA 180MG/2ML (90MG/ML) IV (INFUSION)
26073,TREANDA 180MG/2ML (90MG/ML) IV (INFUSION)
26074,TREANDA 180MG/2ML (90MG/ML) IV (INFUSION)
26075,TREANDA 180MG/2ML (90MG/ML) IV (INFUSION)
26076,CONCENTRAID 0.01% NASAL
26077,DDAVP 0.01% NASAL
26078,DESMOPRESSIN ACETATE 0.01% NASAL
26079,DIAPID 0.185MG/ML NASAL
26080,GOPRELTO 4% NASAL
26081,GOPRELTO 4% NASAL
26082,GOPRELTO 4% NASAL
26083,GOPRELTO 4% NASAL
26084,GOPRELTO 4% NASAL
26085,GOPRELTO 4% NASAL
26086,GOPRELTO 4% NASAL
26087,SYNTOCINON 40USP UNITS/ML NASAL
26088,TYZINE 0.05% NASAL
26089,TYZINE 0.1% NASAL
26090,CEQUA 0.09% OPHTHALMIC
26091,CEQUA 0.09% OPHTHALMIC
26092,ISOPTO CARPINE 1% OPHTHALMIC
26093,ISOPTO CARPINE 2% OPHTHALMIC
26094,ISOPTO CARPINE 4% OPHTHALMIC
26095,MEMBRANEBLUE 0.15% OPHTHALMIC
26096,MEMBRANEBLUE 0.15% OPHTHALMIC
26097,PILOCARPINE HYDROCHLORIDE 1% OPHTHALMIC
26098,PILOCARPINE HYDROCHLORIDE 2% OPHTHALMIC
26099,PILOCARPINE HYDROCHLORIDE 4% OPHTHALMIC
26100,PUR-WASH 98.3% OPHTHALMIC
26101,TETRACAINE HYDROCHLORIDE 0.5% OPHTHALMIC
26102,TETRACAINE HYDROCHLORIDE 0.5% OPHTHALMIC
26103,VISIONBLUE 0.06% OPHTHALMIC
26104,VISIONBLUE 0.06% OPHTHALMIC
26105,ABACAVIR SULFATE EQ 20MG BASE/ML ORAL
26106,ABACAVIR SULFATE EQ 20MG BASE/ML ORAL
26107,ABILIFY 1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26108,ABILIFY 1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26109,ABILIFY 1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26110,ABILIFY 1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26111,ABILIFY 1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26112,ABILIFY 1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26113,ABILIFY 1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26114,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL
26115,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL
26116,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL
26117,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL
26118,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL
26119,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL
26120,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL
26121,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL
26122,AEROLATE 150MG/15ML ORAL
26123,AGENERASE 15MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26124,ALENDRONATE SODIUM EQ 70MG BASE/75ML ORAL
26125,ALPRAZOLAM 0.5MG/5ML ORAL
26126,AMINOPHYLLINE 105MG/5ML ORAL
26127,AMINOPHYLLINE 105MG/5ML ORAL
26128,AMINOPHYLLINE DYE FREE 105MG/5ML ORAL
26129,APTIVUS 100MG/ML ORAL
26130,APTIVUS 100MG/ML ORAL
26131,APTIVUS 100MG/ML ORAL
26132,APTIVUS 100MG/ML ORAL
26133,ARICEPT 5MG/5ML ORAL
26134,ARIPIPRAZOLE 1MG/ML ORAL
26135,ARIPIPRAZOLE 1MG/ML ORAL
26136,ARIPIPRAZOLE 1MG/ML ORAL
26137,ARIPIPRAZOLE 1MG/ML ORAL
26138,AVENTYL EQ 10MG BASE/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26139,AXID 15MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26140,BARACLUDE 0.05MG/ML ORAL
26141,BENYLIN 12.5MG/5ML;30MG/5ML ORAL
26142,BRIVIACT 10MG/ML ORAL
26143,BRIVIACT 10MG/ML ORAL
26144,BRIVIACT 10MG/ML ORAL
26145,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE 325MG/15ML;50MG/15ML;40MG/15ML ORAL"
26146,CAFCIT EQ 30MG BASE/3ML (EQ 10MG BASE/ML) ORAL
26147,CAFFEINE CITRATE EQ 30MG BASE/3ML (EQ 10MG BASE/ML) ORAL
26148,CAFFEINE CITRATE EQ 30MG BASE/3ML (EQ 10MG BASE/ML) ORAL
26149,CAFFEINE CITRATE EQ 30MG BASE/3ML (EQ 10MG BASE/ML) ORAL
26150,CAFFEINE CITRATE EQ 30MG BASE/3ML (EQ 10MG BASE/ML) ORAL
26151,CAFFEINE CITRATE EQ 30MG BASE/3ML (EQ 10MG BASE/ML) ORAL
26152,CALCITRIOL 1MCG/ML ORAL
26153,CALCITRIOL 1MCG/ML ORAL
26154,CANTIL 25MG/5ML ORAL
26155,CARBINOXAMINE MALEATE 4MG/5ML ORAL
26156,CARBINOXAMINE MALEATE 4MG/5ML ORAL
26157,CARBINOXAMINE MALEATE 4MG/5ML ORAL
26158,CARNITOR 1GM/10ML ORAL
26159,CARNITOR 1GM/10ML ORAL
26160,CARNITOR SF 1GM/10ML ORAL
26161,CELEXA EQ 10MG BASE/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26162,CHILDREN'S CETIRIZINE HYDROCHLORIDE ALLERGY 5MG/5ML ORAL
26163,CHOLEDYL 100MG/5ML ORAL
26164,CHRONULAC 10GM/15ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26165,CHYMEX 500MG/7.5ML ORAL
26166,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26167,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26168,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26169,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26170,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26171,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26172,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26173,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26174,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26175,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML ORAL
26176,CITALOPRAM HYDROBROMIDE EQ 10MG BASE/5ML ORAL
26177,CITALOPRAM HYDROBROMIDE EQ 10MG BASE/5ML ORAL
26178,CITALOPRAM HYDROBROMIDE EQ 10MG BASE/5ML ORAL
26179,CITALOPRAM HYDROBROMIDE EQ 10MG BASE/5ML ORAL
26180,CITALOPRAM HYDROBROMIDE EQ 10MG BASE/5ML ORAL
26181,CLARINEX 0.5MG/ML ORAL
26182,CLENPIQ 12GM/BOT;3.5GM/BOT;10MG/BOT ORAL
26183,CODEINE SULFATE 30MG/5ML ORAL
26184,COLONAID 0.025MG/5ML;2.5MG/5ML ORAL
26185,CONSTILAC 10GM/15ML ORAL
26186,CONSTULOSE 10GM/15ML ORAL
26187,CORLANOR 5MG/5ML (1MG/ML) ORAL
26188,CORLANOR 5MG/5ML (1MG/ML) ORAL
26189,CORLANOR 5MG/5ML (1MG/ML) ORAL
26190,CORLANOR 5MG/5ML (1MG/ML) ORAL
26191,CORLANOR 5MG/5ML (1MG/ML) ORAL
26192,CORLANOR 5MG/5ML (1MG/ML) ORAL
26193,CORLANOR 5MG/5ML (1MG/ML) ORAL
26194,CORLANOR 5MG/5ML (1MG/ML) ORAL
26195,CORLANOR 5MG/5ML (1MG/ML) ORAL
26196,CORLANOR 5MG/5ML (1MG/ML) ORAL
26197,CORLANOR 5MG/5ML (1MG/ML) ORAL
26198,CORLANOR 5MG/5ML (1MG/ML) ORAL
26199,CORLANOR 5MG/5ML (1MG/ML) ORAL
26200,CORLANOR 5MG/5ML (1MG/ML) ORAL
26201,CORLANOR 5MG/5ML (1MG/ML) ORAL
26202,CORLANOR 5MG/5ML (1MG/ML) ORAL
26203,CORLANOR 5MG/5ML (1MG/ML) ORAL
26204,CORLANOR 5MG/5ML (1MG/ML) ORAL
26205,CORLANOR 5MG/5ML (1MG/ML) ORAL
26206,CORLANOR 5MG/5ML (1MG/ML) ORAL
26207,CORLANOR 5MG/5ML (1MG/ML) ORAL
26208,CORLANOR 5MG/5ML (1MG/ML) ORAL
26209,CORLANOR 5MG/5ML (1MG/ML) ORAL
26210,CORLANOR 5MG/5ML (1MG/ML) ORAL
26211,CUVPOSA 1MG/5ML ORAL
26212,CUVPOSA 1MG/5ML ORAL
26213,CYCLOSPORINE 100MG/ML ORAL
26214,CYCLOSPORINE 100MG/ML ORAL
26215,CYCLOSPORINE 100MG/ML ORAL
26216,CYCLOSPORINE 100MG/ML ORAL
26217,CYCLOSPORINE 100MG/ML ORAL
26218,DESLORATADINE 0.5MG/ML ORAL
26219,DESLORATADINE 0.5MG/ML ORAL
26220,DEXAMETHASONE 0.5MG/5ML ORAL
26221,DEXTROAMPHETAMINE SULFATE 5MG/5ML ORAL
26222,DEXTROAMPHETAMINE SULFATE 5MG/5ML ORAL
26223,DIAZEPAM 5MG/5ML ORAL
26224,DIAZEPAM 5MG/5ML ORAL
26225,DILAUDID 5MG/5ML ORAL
26226,DIPHENOXYLATE HYDROCHLORIDE AND ATROPINE SULFATE 0.025MG/5ML;2.5MG/5ML ORAL
26227,DUPHALAC 10GM/15ML ORAL
26228,EMTRIVA 10MG/ML ORAL
26229,EMTRIVA 10MG/ML ORAL
26230,EMTRIVA 10MG/ML ORAL
26231,EMTRIVA 10MG/ML ORAL
26232,EPANED 1MG/ML ORAL
26233,EPANED 1MG/ML ORAL
26234,EPANED 1MG/ML ORAL
26235,EPANED 1MG/ML ORAL
26236,EPANED 1MG/ML ORAL
26237,EPANED 1MG/ML ORAL
26238,EPANED 1MG/ML ORAL
26239,EPANED 1MG/ML ORAL
26240,EPANED 1MG/ML ORAL
26241,EPANED 1MG/ML ORAL
26242,EPANED 1MG/ML ORAL
26243,EPANED 1MG/ML ORAL
26244,EPIDIOLEX 100MG/ML ORAL
26245,EPIDIOLEX 100MG/ML ORAL
26246,EPIDIOLEX 100MG/ML ORAL
26247,EPIDIOLEX 100MG/ML ORAL
26248,EPIDIOLEX 100MG/ML ORAL
26249,EPIDIOLEX 100MG/ML ORAL
26250,EPIDIOLEX 100MG/ML ORAL
26251,EPIDIOLEX 100MG/ML ORAL
26252,EPIDIOLEX 100MG/ML ORAL
26253,EPIDIOLEX 100MG/ML ORAL
26254,EPIDIOLEX 100MG/ML ORAL
26255,EPIDIOLEX 100MG/ML ORAL
26256,EPIDIOLEX 100MG/ML ORAL
26257,EPIDIOLEX 100MG/ML ORAL
26258,EPIDIOLEX 100MG/ML ORAL
26259,EPIDIOLEX 100MG/ML ORAL
26260,EPIDIOLEX 100MG/ML ORAL
26261,EPIDIOLEX 100MG/ML ORAL
26262,EPIDIOLEX 100MG/ML ORAL
26263,EPIDIOLEX 100MG/ML ORAL
26264,EPIDIOLEX 100MG/ML ORAL
26265,EPIDIOLEX 100MG/ML ORAL
26266,EPIVIR 10MG/ML ORAL
26267,EPIVIR-HBV 5MG/ML ORAL
26268,ESCITALOPRAM OXALATE EQ 5MG BASE/5ML ORAL
26269,ESCITALOPRAM OXALATE EQ 5MG BASE/5ML ORAL
26270,ESCITALOPRAM OXALATE EQ 5MG BASE/5ML ORAL
26271,ESCITALOPRAM OXALATE EQ 5MG BASE/5ML ORAL
26272,ESCITALOPRAM OXALATE EQ 5MG BASE/5ML ORAL
26273,ESCITALOPRAM OXALATE EQ 5MG BASE/5ML ORAL
26274,ESCITALOPRAM OXALATE EQ 5MG BASE/5ML ORAL
26275,EVALOSE 10GM/15ML ORAL
26276,EXELON EQ 2MG BASE/ML ORAL
26277,FERRIPROX 80MG/ML ORAL
26278,FERRIPROX 80MG/ML ORAL
26279,FERRIPROX 100MG/ML ORAL
26280,FERRIPROX 100MG/ML ORAL
26281,FLOWTUSS 200MG/5ML;2.5MG/5ML ORAL
26282,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26283,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26284,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26285,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26286,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26287,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26288,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26289,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26290,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26291,FLUOXETINE HYDROCHLORIDE EQ 20MG BASE/5ML ORAL
26292,FOSAMAX EQ 70MG BASE/75ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26293,FOSAMAX EQ 70MG BASE/75ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26294,FOSAMAX EQ 70MG BASE/75ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL
26295,FUROSEMIDE 10MG/ML ORAL
26296,FUROSEMIDE 40MG/5ML ORAL
26297,FUROSEMIDE 10MG/ML ORAL
26298,GABAPENTIN 250MG/5ML ORAL
26299,GABAPENTIN 250MG/5ML ORAL
26300,GABAPENTIN 250MG/5ML ORAL
26301,GABAPENTIN 250MG/5ML ORAL
26302,GABAPENTIN 250MG/5ML ORAL
26303,GALANTAMINE HYDROBROMIDE 4MG/ML ORAL
